Title,Category,Description,ShortDescription,Website,Pricing,PricingType,StartingPrice,Currency,Tags,KeyFeatures,Integrations,Platform,TargetUser,LogoURL,ScreenshotURLs,Featured,Verified,Rating,ReviewCount,AffiliateLink,DateAdded,LastUpdated
Virtual Staging AI,Listing Marketing,"AI-powered virtual staging for empty rooms. Upload photo → get staged versions in 30 sec. Pay per image. MLS-compliant output.",Instant virtual staging for empty rooms. $5/image.,https://virtualstaging.ai,"Freemium: 3 free, then $5/image",Freemium,5,USD,"virtual-staging,listing-photos,ai-images,mls-ready","Batch upload,MLS-compliant,30-sec turnaround,API access,Multiple styles","MLS,Zillow,Realtor.com,HubSpot","Web,API,Chrome Extension","Solo agents,Teams","https://virtualstaging.ai/logo.png","https://virtualstaging.ai/screen1.png,https://virtualstaging.ai/screen2.png",TRUE,TRUE,4.8,127,https://virtualstaging.ai?ref=yourcode,2024-01-15,2024-03-10
Restb.ai,Listing Marketing,"Computer vision AI that analyzes property photos to auto-generate listing descriptions, extract features, and score photo quality.",Auto-generate listing descriptions from photos. Free tier available.,https://restb.ai,"Free tier + paid plans from $29/mo",Freemium,29,USD,"photo-analysis,listing-descriptions,feature-extraction,photo-quality","Auto descriptions,Room detection,Quality scoring,Compliance check","MLS,CoreLogic,Realtor.com,Zillow","Web,API","Solo agents,Teams,Brokerages","https://restb.ai/logo.png","https://restb.ai/screen1.png",TRUE,TRUE,4.6,89,https://restb.ai?ref=yourcode,2024-01-20,2024-03-05
Ylopo,Lead Generation,"AI-powered digital marketing platform for real estate. Facebook/Google ads, landing pages, CRM integration, and predictive lead scoring.",All-in-one AI marketing: ads, landing pages, lead scoring.,https://ylopo.com,"Contact for pricing (typically $500-2000/mo)",Contact,500,USD,"lead-gen,facebook-ads,google-ads,predictive-scoring,crm","Predictive scoring,Auto-optimization,Multi-channel,CRM sync","Follow Up Boss,BoomTown,kvCORE,LionDesk","Web,Mobile App","Teams,Brokerages","https://ylopo.com/logo.png","https://ylopo.com/screen1.png",TRUE,FALSE,4.5,203,,2024-02-01,2024-03-01
Structurely,Lead Generation,"AI conversational assistant (Aisa Holmes) that engages leads via text/email, qualifies them, and books appointments 24/7.",AI assistant that qualifies leads & books appointments 24/7.,https://structurely.com,"From $199/mo per agent",Subscription,199,USD,"ai-assistant,conversational-ai,lead-qualification,appointment-booking","24/7 engagement,Multi-channel,CRM integration,Human handoff","Follow Up Boss,BoomTown,kvCORE,Real Geeks","Web,Mobile App","Solo agents,Teams","https://structurely.com/logo.png","https://structurely.com/screen1.png",TRUE,TRUE,4.7,156,https://structurely.com?ref=yourcode,2024-02-10,2024-03-08
HouseCanary,Market Analysis,"AI-powered property valuation, market forecasts, and investment analytics. Used by top brokerages and institutional investors.",Institutional-grade valuations & market forecasts.,https://housecanary.com,"Enterprise pricing (contact sales)",Contact,0,USD,"valuation,market-forecast,investment-analytics,comps","Automated valuations,3-yr forecasts,Rental estimates,Portfolio analytics","Encompass,Ellie Mae,Custom API","Web,API","Brokerages,Investors,Institutions","https://housecanary.com/logo.png","https://housecanary.com/screen1.png",FALSE,TRUE,4.9,67,,2024-02-15,2024-03-03
BrightMLS AI,Market Analysis,"MLS-integrated AI tools for pricing recommendations, market trends, and buyer/seller reports. Included with Bright MLS subscription.",MLS-integrated pricing AI & market reports.,https://brightmls.com,"Included with MLS subscription",Free,0,USD,"pricing,market-trends,buyer-reports,seller-reports,mls-integrated","Price recommendations,Trend alerts,Auto reports,Mobile access","Bright MLS","Web,Mobile App","Solo agents,Teams","https://brightmls.com/logo.png","",FALSE,FALSE,4.4,45,,2024-02-20,2024-03-02
Sidekick,Client Management,"AI CRM assistant that automates follow-ups, writes emails, schedules tasks, and predicts which contacts need attention.",AI CRM assistant: follow-ups, emails, scheduling.,https://sidekick.com,"From $29/mo per agent",Subscription,29,USD,"crm-automation,follow-up,email-writing,task-management","Smart follow-ups,Email generation,Task prediction,Pipeline insights","Follow Up Boss,LionDesk,kvCORE,HubSpot","Web,Mobile App,Chrome Extension","Solo agents,Teams","https://sidekick.com/logo.png","https://sidekick.com/screen1.png",TRUE,TRUE,4.6,112,https://sidekick.com?ref=yourcode,2024-02-25,2024-03-07
Lofty
20
Follow Up Boss,Client Management,"Popular CRM with AI-powered action plans, smart lists, and automated communication workflows. Built for real estate teams.",CRM with AI action plans & smart automation.,https://followupboss.com,"From $69/mo per user",Subscription,69,USD,"crm,action-plans,smart-lists,workflow-automation","AI action plans,Smart lists,Auto workflows,Team collaboration","Zillow,Realtor.com,BoomTown,Structurely","Web,Mobile App","Teams,Brokerages","https://followupboss.com/logo.png","https://followupboss.com/screen1.png",FALSE,TRUE,4.8,1890,,2024-03-01,2024-03-15
